Kova─ìic,                      Chelsea
Mount,                         Chelsea
Hudson-Odoi,                   Chelsea
James,                         Chelsea
Emerson,                       Chelsea
Kepa,                          Chelsea
Cumming,                       Chelsea
Rudiger,                       Chelsea
Giroud,                        Chelsea
Batshuayi,                     Chelsea
Tomori,                        Chelsea
Broja,                         Chelsea
Lawrence,                      Chelsea
Maatsen,                       Chelsea
Bate,                          Chelsea
Simeu,                         Chelsea
Szczesny,                      Juventus
De Ligt,                       Juventus
Pjanic,                        Juventus
Ronaldo,                       Juventus
Dybala,                        Juventus
Alex Sandro,                   Juventus
Danilo,                        Juventus
Cuadrado,                      Juventus
Bonucci,                       Juventus
Rabiot,                        Juventus
Bentancur,                     Juventus
Buffon,                        Juventus
De Sciglio,                    Juventus
Ramsey,                        Juventus
Matuidi,                       Juventus
Higuain,                       Juventus
Rugani,                        Juventus
Bernardeschi,                  Juventus
Gulacsi,                       RB Leipzig
Angelino,                      RB Leipzig
Upamecano,                     RB Leipzig
Sabitzer,                      RB Leipzig
Werner,                        RB Leipzig
Klostermann,                   RB Leipzig
Nkunku,                        RB Leipzig
Schick,                        RB Leipzig
Mukiele,                       RB Leipzig
Halstenberg,                   RB Leipzig
Laimer,                        RB Leipzig
Mvogo,                         RB Leipzig
Haidara,                       RB Leipzig
Y. Poulsen,                    RB Leipzig
Forsberg,                      RB Leipzig
Adams,                         RB Leipzig
Lookman,                       RB Leipzig
Olmo,                          RB Leipzig
Alisson Becker,                Liverpool
Fabinho,                       Liverpool
Van Dijk,                      Liverpool
Wijnaldum,                     Liverpool
Firmino,                       Liverpool
Mane,                          Liverpool
Salah,                         Liverpool
Gomez,                         Liverpool
Henderson,                     Liverpool
Robertson,                     Liverpool
Alexander-Arnold,              Liverpool
Adrian,                        Liverpool
Milner,                        Liverpool
Keita,                         Liverpool
Oxlade-Chamberlain,            Liverpool
Minamino,                      Liverpool
Origi,                         Liverpool
Matip,                         Liverpool
Lopes,                         Lyon
Denayer,                       Lyon
Marcelo,                       Lyon
Aouar,                         Lyon
Dembele,                       Lyon
Dubois,                        Lyon
Marcal,                        Lyon
Ekambi,                        Lyon
Cornet,                        Lyon
Tousart,                       Lyon
Bruno Guimaraes,               Lyon
Tatarusanu,                    Lyon
Andersen,                      Lyon
Terrier,                       Lyon
Traore,                        Lyon
Mendes,                        Lyon
Tete,                          Lyon
Caqueret,                      Lyon
Derson,                        Manchester City
Walker,                        Manchester City
Sterling,                      Manchester City
Gundogan,                      Manchester City
Jesus,                         Manchester City
Laporte,                       Manchester City
Rodri,                         Manchester City
De Bruyne,                     Manchester City
Fernandinho,                   Manchester City
Joao Cancelo,                  Manchester City
Foden,                         Manchester City
Bravo,                         Manchester City
Stones,                        Manchester City
Zinchenko,                     Manchester City
Bernardo Silva,                Manchester City
David Silva,                   Manchester City
Mahrez,                        Manchester City
Otamendi,                      Manchester City
E. Garcia,                     Manchester City
Doyle,                         Manchester City
Harwood-Bellis,                Manchester City
Palmer,                        Manchester City
Bernabe,                       Manchester City
Ospina,                        Napoli
Demme,                         Napoli
Mario Rui,                     Napoli
Callejon,                      Napoli
Fabian Ruiz,                   Napoli
Mertens,                       Napoli
Nik. Maksimovic,               Napoli
Zielinski,                     Napoli
Di Lorenzo,                    Napoli
Insigne,                       Napoli
Manolas,                       Napoli
Meret,                         Napoli
Allan,                         Napoli
Elmas,                         Napoli
Luperto,                       Napoli
Politano,                      Napoli
Hysaj,                         Napoli
Milik,                         Napoli
Navas,                         Paris Saint-Germain
Kimpembe,                      Paris Saint-Germain
Kehrer,                        Paris Saint-Germain
Marquinhos,                    Paris Saint-Germain
Paredes,                       Paris Saint-Germain
Cavani,                        Paris Saint-Germain
Neymar,                        Paris Saint-Germain
Di Maria,                      Paris Saint-Germain
Bernat,                        Paris Saint-Germain
Sarabia,                       Paris Saint-Germain
Gueye,                         Paris Saint-Germain
Rico,                          Paris Saint-Germain
Mbappe,                        Paris Saint-Germain
Icardi,                        Paris Saint-Germain
Kurzawa,                       Paris Saint-Germain
Diallo,                        Paris Saint-Germain
Draxler,                       Paris Saint-Germain
Kouassi,                       Paris Saint-Germain
Courtois,                      Real Madrid
Carvajal,                      Real Madrid
Eder Militao,                  Real Madrid
Varane,                        Real Madrid
E. Hazard,                     Real Madrid
Kroos,                         Real Madrid
Benzema,                       Real Madrid
Modric,                        Real Madrid
Casemiro,                      Real Madrid
Mendy,                         Real Madrid
Rodrygo,                       Real Madrid
Areola,                        Real Madrid
Altube,                        Real Madrid
Nacho,                         Real Madrid
Marcelo,                       Real Madrid
Valverde,                      Real Madrid
Lucas Vazquez,                 Real Madrid
Jovic,                         Real Madrid
Asensio,                       Real Madrid
Brahim Diaz,                   Real Madrid
Isco,                          Real Madrid
Vinicius Junior,               Real Madrid
Javi,                          Real Madrid
Lloris,                        Tottenham Hotspur
Alderweireld,                  Tottenham Hotspur
Winks,                         Tottenham Hotspur
Lamela,                        Tottenham Hotspur
Dier,                          Tottenham Hotspur
Lo Celso,                      Tottenham Hotspur
Sessegnon,                     Tottenham Hotspur
Alli,                          Tottenham Hotspur
Aurier,                        Tottenham Hotspur
Moura,                         Tottenham Hotspur
Tanganga,                      Tottenham Hotspur
Gazzaniga,                     Tottenham Hotspur
Vertonghen,                    Tottenham Hotspur
Ndombele,                      Tottenham Hotspur
Skipp,                         Tottenham Hotspur
Gedson Fernandes,              Tottenham Hotspur
Parrott,                       Tottenham Hotspur
Fagan-Walcott,                 Tottenham Hotspur
Domenech,                      Valencia
Mangala,                       Valencia
Kondogbia,                     Valencia
Goncalo Guedes,                Valencia
Soler,                         Valencia
Parejo,                        Valencia
Diakhaby,                      Valencia
Gaya,                          Valencia
Wass,                          Valencia
Ferran Torres,                 Valencia
Maxi Gomez,                    Valencia
Cillessen,                     Valencia
Thierry Correia,               Valencia
Jaume Costa,                   Valencia
Gameiro,                       Valencia
Cheryshev,                     Valencia
Ruben Sobrino,                 Valencia
Gutierrez,                     Valencia
